id,job_id,company_id,title,department,employment_type,workplace_type,country,is_remote,posted_at,apply_url,fetched_time,status,close_time
smartrecruiters:SmithsGroup2/744000150591744,744000150591744,98619,Data Analyst,Info Systems & Technology,Full-time,onsite,United States,False,2026-09-21 03:55:35.953000+00:00,https://jobs.smartrecruiters.com/SmithsGroup2/744000150591744-data-analyst,2026-09-21 09:06:49.104265+00:00,active,
lever:GoToGroup/f3e99637-834f-443a-bb52-6133315e4bb8,f3e99637-834f-443a-bb52-6133315e4bb8,47100,Data Analyst,FinTech - Data,Direct Contract,onsite,United States,False,2026-09-21 03:51:40.931000+00:00,https://jobs.lever.co/GoToGroup/f3e99637-834f-443a-bb52-6133315e4bb8/apply,2026-09-21 08:39:26.651927+00:00,active,
smartrecruiters:NBCUniversal3/744000150586679,744000150586679,73256,Sr. Data Engineer,,Full-time,hybrid,United States,False,2026-09-21 02:16:25.212000+00:00,https://jobs.smartrecruiters.com/NBCUniversal3/744000150586679-sr-data-engineer,2026-09-21 08:53:21.310456+00:00,active,
adp:8fd0f4de-08c2-4ed0-beda-aea4bae80678:wfn/9206994525791_1,9206994525791_1,27359,Data Analyst,,Full Time,tbc,United States,False,2026-09-18 20:48:00+00:00,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8fd0f4de-08c2-4ed0-beda-aea4bae80678&selectedMenuKey=CurrentOpenings&jobId=587326,2026-09-21 08:28:58.580938+00:00,active,
smartrecruiters:Grab/744000150317835,744000150317835,47240,Data Analyst (Risk analytics),,Full-time,onsite,United States,False,2026-09-18 09:11:11.630000+00:00,https://jobs.smartrecruiters.com/Grab/744000150317835-data-analyst-risk-analytics-,2026-09-19 08:49:08.024466+00:00,closed,2026-09-21 08:40:19.043611+00:00
smartrecruiters:SmithsGroup2/744000150306025,744000150306025,98619,Data Analyst,Info Systems & Technology,Full-time,onsite,United States,False,2026-09-18 08:18:22.597000+00:00,https://jobs.smartrecruiters.com/SmithsGroup2/744000150306025-data-analyst,2026-09-19 09:15:22.286155+00:00,closed,2026-09-21 09:06:49.104265+00:00
workday:pg.wd5/1000/Senior-Data-Engineer_R000155516,Senior-Data-Engineer_R000155516,82183,Senior Data Engineer,,Full time,onsite,United States,False,2026-09-18 00:00:00+00:00,https://pg.wd5.myworkdayjobs.com/1000/job/Senior-Data-Engineer_R000155516,2026-09-19 09:05:48.229525+00:00,closed,2026-09-21 08:56:58.710952+00:00
workday:exactcare.wd1/anewhealth_career_site/Data-Engineer_R-108975,Data-Engineer_R-108975,11237,Data Engineer,,Full time,remote,United States,True,2026-09-18 00:00:00+00:00,https://exactcare.wd1.myworkdayjobs.com/anewhealth_career_site/job/Data-Engineer_R-108975,2026-09-20 07:15:04.527282+00:00,closed,2026-09-21 08:20:03.448637+00:00
workday:uline.wd1/uline_careers/Senior-Data-Engineer_R267536-1,Senior-Data-Engineer_R267536-1,109577,Senior Data Engineer,,Full time,onsite,United States,False,2026-09-17 00:00:00+00:00,https://uline.wd1.myworkdayjobs.com/uline_careers/job/Senior-Data-Engineer_R267536-1,2026-09-20 08:09:59.102427+00:00,closed,2026-09-21 09:16:22.047323+00:00
workday:sciensbuildingsolutions.wd108/sciens_external_careers/SAP-MASTER-DATA-ANALYST---SERVICE-MANAGEMENT_R-101219-1,SAP-MASTER-DATA-ANALYST---SERVICE-MANAGEMENT_R-101219-1,94157,SAP MASTER DATA ANALYST – SERVICE MANAGEMENT,,,remote,United States,True,2026-09-17 00:00:00+00:00,https://sciensbuildingsolutions.wd108.myworkdayjobs.com/sciens_external_careers/job/SAP-MASTER-DATA-ANALYST---SERVICE-MANAGEMENT_R-101219-1,2026-09-21 09:04:25.858270+00:00,active,
workday:envista.wd1/envistacareers/Envista-Principal-Data-Engineer--Remote-_R5027356,Envista-Principal-Data-Engineer--Remote-_R5027356,34454,Envista Principal Data Engineer (Remote),,Full time,remote,United States,True,2026-09-15 00:00:00+00:00,https://envista.wd1.myworkdayjobs.com/envistacareers/job/Envista-Principal-Data-Engineer--Remote-_R5027356,2026-09-20 07:28:09.780727+00:00,closed,2026-09-21 08:33:06.734778+00:00
greenhouse:rdccareers/7994132003,7994132003,89951,"Senior Data Analyst, Avail",Data Science and Analytics,,tbc,United States,False,2026-09-14 17:28:58+00:00,https://boards.greenhouse.io/rdccareers/jobs/7994132003?gh_jid=7994132003,2026-09-15 11:54:57.813849+00:00,closed,2026-09-21 09:01:44.256725+00:00
workday:gnw.wd1/gnw/Manager--Technology-and-Cybersecurity-Risk---Risk-Data-Analyst_REQ-260380-1,Manager--Technology-and-Cybersecurity-Risk---Risk-Data-Analyst_REQ-260380-1,43690,"Manager, Technology and Cybersecurity Risk / Risk Data Analyst",,Full time,onsite,United States,False,2026-09-14 00:00:00+00:00,https://gnw.wd1.myworkdayjobs.com/gnw/job/Manager--Technology-and-Cybersecurity-Risk---Risk-Data-Analyst_REQ-260380-1,2026-09-17 08:07:21.797098+00:00,closed,2026-09-21 08:37:31.578843+00:00
adp:8b9bf0bb-65c0-4afa-bfe7-86a113592b54:wfn/9201438800907_1,9201438800907_1,79204,Data Engineer II,,Regular - Full time,tbc,United States,False,2026-09-11 14:04:00+00:00,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8b9bf0bb-65c0-4afa-bfe7-86a113592b54&selectedMenuKey=CurrentOpenings&jobId=940534,2026-09-21 08:55:27.974614+00:00,active,
workday:chamberlain.wd1/chamberlain_group/Quality-Data-Analyst_JR31510-1,Quality-Data-Analyst_JR31510-1,22220,Quality Data Analyst,,Full time,onsite,United States,False,2026-09-10 00:00:00+00:00,https://chamberlain.wd1.myworkdayjobs.com/chamberlain_group/job/Quality-Data-Analyst_JR31510-1,2026-09-13 12:30:45.695826+00:00,closed,2026-09-21 08:26:12.221370+00:00
adp:d98914b5-f01a-4b25-98ce-1963a737fb63:wfn/9201463156060_1,9201463156060_1,45323,Development Data Analyst ,,Full Time,tbc,United States,False,2026-09-08 19:37:00+00:00,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d98914b5-f01a-4b25-98ce-1963a737fb63&selectedMenuKey=CurrentOpenings&jobId=570352,2026-09-21 08:40:18.975261+00:00,active,
greenhouse:rdccareers/7980475003,7980475003,89951,"Data Analyst, Spotlight Listings",Data Science and Analytics,,tbc,United States,False,2026-09-02 19:55:09+00:00,https://boards.greenhouse.io/rdccareers/jobs/7980475003?gh_jid=7980475003,2026-09-03 07:07:48.116377+00:00,closed,2026-09-21 09:01:44.256725+00:00
icims:careers-personifyhealth.icims.com/4778,4778,85360,Senior Data Engineer,Engineering,,tbc,United States,False,2026-08-12 09:43:00+00:00,https://careers-personifyhealth.icims.com/jobs/4778/senior-data-engineer/job,2026-08-13 05:59:56.163289+00:00,closed,2026-09-21 08:58:32.310332+00:00
greenhouse:rdccareers/7801285003,7801285003,89951,"Senior Data Analyst, Avail",Data Science and Analytics,,tbc,United States,False,2026-07-13 14:27:13+00:00,https://boards.greenhouse.io/rdccareers/jobs/7801285003?gh_jid=7801285003,2026-07-14 08:26:39.112982+00:00,closed,2026-09-21 09:01:44.256725+00:00
